,date,price,commodity
56,2024-03-26,40.25,Raspberries
57,2024-03-27,40.25,Raspberries
58,2024-03-28,40.25,Raspberries
59,2024-03-29,40.25,Raspberries
60,2024-04-01,40.25,Raspberries
61,2024-04-02,40.25,Raspberries
62,2024-04-03,40.25,Raspberries
63,2024-04-04,40.25,Raspberries
64,2024-04-05,40.25,Raspberries
65,2024-04-08,40.25,Raspberries
66,2024-04-09,40.25,Raspberries
67,2024-04-10,40.25,Raspberries
68,2024-04-11,40.25,Raspberries
69,2024-04-12,40.25,Raspberries
70,2024-04-15,42.25,Raspberries
71,2024-04-16,42.25,Raspberries
72,2024-04-17,42.25,Raspberries
73,2024-04-18,42.25,Raspberries
74,2024-04-19,42.25,Raspberries
75,2024-04-22,43.0,Raspberries
76,2024-04-23,43.0,Raspberries
77,2024-04-29,37.5,Raspberries
78,2024-04-30,37.5,Raspberries
79,2024-05-01,37.5,Raspberries
80,2024-05-02,37.5,Raspberries
81,2024-05-03,37.5,Raspberries
82,2024-05-06,37.5,Raspberries
83,2024-05-07,37.5,Raspberries
84,2024-05-08,37.5,Raspberries
85,2024-05-09,37.5,Raspberries
86,2024-05-10,37.5,Raspberries
87,2024-05-13,37.5,Raspberries
88,2024-05-14,43.25,Raspberries
89,2024-05-15,43.25,Raspberries
90,2024-05-16,43.25,Raspberries
91,2024-05-17,43.25,Raspberries
92,2024-05-20,43.25,Raspberries
93,2024-05-21,43.25,Raspberries
94,2024-05-22,43.25,Raspberries
95,2024-05-23,43.25,Raspberries
96,2024-05-24,43.25,Raspberries
97,2024-05-28,43.25,Raspberries
98,2024-05-29,28.75,Raspberries
99,2024-05-30,28.75,Raspberries
100,2024-05-31,28.75,Raspberries
101,2024-06-03,28.75,Raspberries
102,2024-06-04,28.75,Raspberries
103,2024-06-05,28.75,Raspberries
104,2024-06-06,28.75,Raspberries
105,2024-06-07,28.75,Raspberries
106,2024-06-10,28.75,Raspberries
107,2024-06-11,28.75,Raspberries
108,2024-06-12,28.75,Raspberries
109,2024-06-13,28.75,Raspberries
110,2024-06-14,28.75,Raspberries
111,2024-06-17,28.75,Raspberries
112,2024-06-18,28.75,Raspberries
113,2024-06-20,28.75,Raspberries
114,2024-06-21,28.75,Raspberries
115,2024-06-24,28.75,Raspberries
116,2024-06-25,40.0,Raspberries
117,2024-06-26,40.0,Raspberries
118,2024-06-27,40.0,Raspberries
119,2024-06-28,40.0,Raspberries
120,2024-07-01,40.0,Raspberries
121,2024-07-02,40.0,Raspberries
122,2024-07-03,40.0,Raspberries
123,2024-07-05,40.0,Raspberries
124,2024-07-08,40.0,Raspberries
125,2024-07-09,40.0,Raspberries
126,2024-07-10,41.0,Raspberries
127,2024-07-11,41.0,Raspberries
128,2024-07-12,41.0,Raspberries
129,2024-07-15,41.0,Raspberries
130,2024-07-16,41.0,Raspberries
131,2024-07-17,41.0,Raspberries
132,2024-07-18,41.0,Raspberries
133,2024-07-19,41.0,Raspberries
134,2024-07-22,41.0,Raspberries
135,2024-07-23,41.0,Raspberries
136,2024-07-24,41.0,Raspberries
137,2024-07-25,41.0,Raspberries
138,2024-07-26,41.0,Raspberries
139,2024-07-29,41.0,Raspberries
140,2024-07-30,41.0,Raspberries
141,2024-07-31,41.0,Raspberries
142,2024-08-01,41.0,Raspberries
143,2024-08-02,41.0,Raspberries
144,2024-08-07,41.0,Raspberries
145,2024-08-08,41.0,Raspberries
146,2024-08-09,41.0,Raspberries
147,2024-08-12,41.0,Raspberries
148,2024-08-13,41.0,Raspberries
149,2024-08-14,41.0,Raspberries
150,2024-08-15,41.0,Raspberries
151,2024-08-16,41.0,Raspberries
152,2024-08-19,41.0,Raspberries
153,2024-08-20,42.0,Raspberries
154,2024-08-21,42.0,Raspberries
155,2024-08-22,42.0,Raspberries
156,2024-08-23,40.0,Raspberries
157,2024-08-26,40.0,Raspberries
158,2024-08-27,40.0,Raspberries
159,2024-08-28,40.0,Raspberries
160,2024-08-29,40.0,Raspberries
161,2024-08-30,40.0,Raspberries
162,2024-09-03,40.0,Raspberries
163,2024-09-04,40.0,Raspberries
164,2024-09-05,40.0,Raspberries
165,2024-09-06,40.0,Raspberries
166,2024-09-09,40.0,Raspberries
167,2024-09-10,40.0,Raspberries
168,2024-09-11,40.0,Raspberries
169,2024-09-12,40.0,Raspberries
170,2024-09-13,40.0,Raspberries
171,2024-09-16,40.0,Raspberries
172,2024-09-17,40.0,Raspberries
173,2024-09-18,40.0,Raspberries
174,2024-09-19,40.0,Raspberries
175,2024-09-20,40.0,Raspberries
176,2024-09-23,40.0,Raspberries
177,2024-09-24,40.0,Raspberries
178,2024-09-25,40.0,Raspberries
179,2024-09-27,40.0,Raspberries
180,2024-09-30,40.0,Raspberries
181,2024-10-01,40.0,Raspberries
182,2024-10-02,40.0,Raspberries
183,2024-10-03,40.0,Raspberries
184,2024-10-04,40.0,Raspberries
185,2024-10-07,40.0,Raspberries
186,2024-10-08,38.0,Raspberries
187,2024-10-09,38.0,Raspberries
188,2024-10-10,38.0,Raspberries
189,2024-10-11,38.0,Raspberries
190,2024-10-15,38.0,Raspberries
191,2024-10-16,38.0,Raspberries
192,2024-10-17,38.0,Raspberries
193,2024-10-18,38.0,Raspberries
194,2024-10-21,38.0,Raspberries
195,2024-10-22,38.0,Raspberries
196,2024-10-23,38.0,Raspberries
197,2024-10-24,38.0,Raspberries
198,2024-10-25,38.0,Raspberries
199,2024-10-28,38.0,Raspberries
200,2024-10-29,38.0,Raspberries
201,2024-10-30,38.0,Raspberries
202,2024-10-31,38.0,Raspberries
203,2024-11-01,38.0,Raspberries
204,2024-11-04,38.0,Raspberries
205,2024-11-05,38.0,Raspberries
206,2024-11-06,38.0,Raspberries
207,2024-11-07,38.0,Raspberries
208,2024-11-08,38.0,Raspberries
209,2024-11-12,38.0,Raspberries
210,2024-11-13,38.0,Raspberries
211,2024-11-14,38.0,Raspberries
212,2024-11-15,38.0,Raspberries
213,2024-11-18,38.0,Raspberries
214,2024-11-19,38.0,Raspberries
215,2024-11-20,38.0,Raspberries
216,2024-11-21,38.0,Raspberries
217,2024-11-22,38.0,Raspberries
218,2024-11-25,38.0,Raspberries
219,2024-11-26,38.0,Raspberries
220,2024-11-27,38.0,Raspberries
221,2024-11-29,38.0,Raspberries
222,2024-12-02,38.0,Raspberries
223,2024-12-03,38.0,Raspberries
224,2024-12-04,38.0,Raspberries
225,2024-12-05,38.0,Raspberries
226,2024-12-06,38.0,Raspberries
227,2024-12-09,38.0,Raspberries
228,2024-12-10,38.0,Raspberries
229,2024-12-11,38.0,Raspberries
230,2024-12-12,38.0,Raspberries
231,2024-12-13,38.0,Raspberries
232,2024-12-16,38.0,Raspberries
233,2024-12-17,38.0,Raspberries
234,2024-12-18,38.0,Raspberries
235,2024-12-19,38.0,Raspberries
236,2024-12-20,38.0,Raspberries
237,2024-12-23,38.0,Raspberries
238,2024-12-26,38.0,Raspberries
239,2024-12-27,38.0,Raspberries
240,2024-12-30,38.0,Raspberries
241,2024-12-31,38.0,Raspberries
